SSN,LAST,FIRST,YEAR
VRDNNA12L219VR,Verdi,Anna,2012
MTTLAI89F789IG,Mattei,Ali,1989
XVRLCU41H501TO,Xavier,Luca,1941
BCANRC82G456XP,Abaco,Enrica,1982
RSSLCU70L219EF,Rossi,Lucia,1970
VRDLCU4L219NP,Verdi,Lucia,2004
LTTMRM32Z403MN,Letto,Miriam,1932
MLNNNA16R129IQ,Melone,Anna,2016
VRDPLA7A213LI,Verdi,Paola,2007
VRDXVR58F789BW,Verdi,Xavier,1958
RSSGRG87Z403BC,Russo,Giorgio,1987
DRGXVR94Z403MQ,Draghi,Xavier,1994
MLNPLA22H501TG,Melone,Paola,1922
MLNNRC23H501TP,Melone,Enrica,1923
XVRLCU9Z403TM,Xavier,Lucia,2009
VRDLAI2H501TS,Verdi,Ali,2002
MTTNNA40R129NQ,Mattei,Anna,1940
RSSMRA35G456RL,Russo,Mario,1935
MTTNNA23F789NK,Mattei,Anna,1923
BCAMRA62R129WB,Abaco,Mario,1962
MTTMRM4R129UE,Mattei,Miriam,2004
BCALCU74Z403MB,Abaco,Lucia,1974
NRENNA51Z403PU,Neri,Anna,1951
MTTPLA88G456TY,Mattei,Paola,1988
XVRLAI49H501HD,Xavier,Ali,1949
RSSMRM35Z403TK,Rossi,Miriam,1935
MLNMRM25L219OK,Melone,Miriam,1925
BCAXVR77G456KU,Abaco,Xavier,1977
XVRGRG63F789XS,Xavier,Giorgio,1963
XVRMRA93H501NU,Xavier,Mario,1993
BCANNA33Z403HA,Abaco,Anna,1933
MTTLAI73H501VO,Mattei,Ali,1973
DRGLCU1R129NJ,Draghi,Lucia,2001
XVRNRC5H501EV,Xavier,Enrica,2005
MTTLCU2R129WM,Mattei,Luca,2002
NRENRC38A213EW,Neri,Enrica,1938
BCAMRM85R129NC,Abaco,Miriam,1985
DRGLCU95Z403XO,Draghi,Luca,1995
MTTLCU89A213FG,Mattei,Lucia,1989
XVRNRC12R129VT,Xavier,Enrica,2012
MLNMRM75A213MP,Melone,Miriam,1975
DRGMRA19A213ES,Draghi,Mario,2019
LTTPLA69Z403MH,Letto,Paola,1969
XVRMRA31Z403QM,Xavier,Mario,1931
XVRLCU61R129FB,Xavier,Lucia,1961
LTTMRM14H501BF,Letto,Miriam,2014
VRDPLA18G456GF,Verdi,Paola,2018
XVRXVR39Z403DD,Xavier,Xavier,1939
RSSMRM48H501CU,Rossi,Miriam,1948
RSSNRC30Z403WL,Rossi,Enrica,1930
BCANNA28L219ES,Abaco,Anna,1928
MLNMRA16A213DO,Melone,Mario,2016
MLNPLA49F789SF,Melone,Paola,1949
NRENNA48A213PW,Neri,Anna,1948
DRGLCU7A213IG,Draghi,Lucia,2007
RSSLCU25H501LG,Russo,Luca,1925
LTTNRC16Z403RK,Letto,Enrica,2016
XVRNNA40G456RD,Xavier,Anna,1940
MLNNRC80R129RG,Melone,Enrica,1980
LTTNNA35Z403PK,Letto,Anna,1935
LTTMRA71A213BM,Letto,Mario,1971
NRENRC66Z403AT,Neri,Enrica,1966
BCAMRA78F789PW,Abaco,Mario,1978
MTTLCU84G456RO,Mattei,Lucia,1984
BCANRC85G456DD,Abaco,Enrica,1985
RSSNNA33H501YN,Russo,Anna,1933
MTTLCU60L219WQ,Mattei,Luca,1960
LTTMRA79F789II,Letto,Mario,1979
VRDMRA69H501XG,Verdi,Mario,1969
NREXVR72H501FI,Neri,Xavier,1972
MLNNNA92H501QD,Melone,Anna,1992
NRENRC92A213UN,Neri,Enrica,1992
XVRPLA20H501IO,Xavier,Paola,2020
DRGXVR58G456RT,Draghi,Xavier,1958
MLNLAI61A213GY,Melone,Ali,1961
RSSXVR74H501MD,Russo,Xavier,1974
RSSMRM76R129PC,Rossi,Miriam,1976
RSSMRA68H501CO,Rossi,Mario,1968
VRDMRM29G456NR,Verdi,Miriam,1929
RSSNNA59R129CN,Rossi,Anna,1959
MTTNRC86A213LV,Mattei,Enrica,1986
BCAMRA35A213GO,Abaco,Mario,1935
BCAPLA17Z403CF,Abaco,Paola,2017
DRGLCU85A213BF,Draghi,Lucia,1985
XVRMRA19H501JI,Xavier,Mario,2019
MTTLAI47F789MB,Mattei,Ali,1947
VRDXVR22R129SW,Verdi,Xavier,1922
MLNXVR88G456OV,Melone,Xavier,1988
RSSLCU18H501NQ,Rossi,Luca,2018
DRGGRG2Z403VP,Draghi,Giorgio,2002
VRDMRA64G456QV,Verdi,Mario,1964
BCANNA40L219AH,Abaco,Anna,1940
RSSPLA57F789HL,Russo,Paola,1957
XVRNRC65R129VS,Xavier,Enrica,1965
VRDNRC69H501RB,Verdi,Enrica,1969
MLNXVR37Z403FC,Melone,Xavier,1937
RSSXVR54Z403CC,Russo,Xavier,1954
RSSMRM95G456YF,Russo,Miriam,1995
RSSGRG5A213IV,Russo,Giorgio,2005
XVRGRG56L219AN,Xavier,Giorgio,1956
RSSNNA36G456ER,Russo,Anna,1936
RSSNRC12R129EU,Russo,Enrica,2012
BCALCU37H501XT,Abaco,Luca,1937
MLNXVR23F789CU,Melone,Xavier,1923
RSSLCU25L219CN,Russo,Luca,1925
VRDGRG24G456LT,Verdi,Giorgio,1924
MLNNRC79H501UJ,Melone,Enrica,1979
MTTMRA64Z403TR,Mattei,Mario,1964
VRDMRA10R129GA,Verdi,Mario,2010
LTTLCU21H501HY,Letto,Luca,2021
NREGRG83Z403OH,Neri,Giorgio,1983
NRENNA33L219NI,Neri,Anna,1933
NREXVR0G456HW,Neri,Xavier,2000
RSSLAI44R129UH,Russo,Ali,1944
BCAMRM90H501JP,Abaco,Miriam,1990
NREMRM64R129AP,Neri,Miriam,1964
RSSPLA42L219VX,Russo,Paola,1942
MLNLAI40L219JC,Melone,Ali,1940
LTTNNA99F789WE,Letto,Anna,1999
NREMRM59G456XM,Neri,Miriam,1959
MTTLAI50R129YN,Mattei,Ali,1950
BCAMRA62L219US,Abaco,Mario,1962
RSSXVR28F789US,Russo,Xavier,1928
DRGLCU67L219QB,Draghi,Luca,1967
MLNNRC73G456OC,Melone,Enrica,1973
VRDLAI66G456YO,Verdi,Ali,1966
LTTLAI47Z403GT,Letto,Ali,1947
LTTMRA98A213KS,Letto,Mario,1998
MTTNRC87Z403RG,Mattei,Enrica,1987
BCALCU79A213OK,Abaco,Luca,1979
RSSMRM31L219TD,Rossi,Miriam,1931
MTTNNA71H501PJ,Mattei,Anna,1971
XVRLCU27L219BS,Xavier,Lucia,1927
LTTXVR35R129YI,Letto,Xavier,1935
VRDLCU90H501QX,Verdi,Lucia,1990
RSSLCU65A213KN,Rossi,Lucia,1965
NRELCU19Z403XF,Neri,Luca,2019
VRDMRM44R129PR,Verdi,Miriam,1944
MLNMRA2R129YG,Melone,Mario,2002
MLNPLA17A213BM,Melone,Paola,2017
NRELAI66A213UL,Neri,Ali,1966
DRGGRG0G456YO,Draghi,Giorgio,2000
VRDMRA55F789LA,Verdi,Mario,1955
LTTLAI78Z403JE,Letto,Ali,1978
DRGMRA30Z403WR,Draghi,Mario,1930
RSSMRM42L219XS,Russo,Miriam,1942
RSSNRC62L219DO,Russo,Enrica,1962
XVRMRA80F789EX,Xavier,Mario,1980
MTTLCU95H501JK,Mattei,Luca,1995
LTTMRM77A213DT,Letto,Miriam,1977
VRDLAI34F789IX,Verdi,Ali,1934
NREMRM68F789QI,Neri,Miriam,1968
MTTLAI30Z403QX,Mattei,Ali,1930
DRGLCU11R129EC,Draghi,Luca,2011
RSSNNA75F789NR,Rossi,Anna,1975
MTTLAI28R129LR,Mattei,Ali,1928
MTTMRA27L219NH,Mattei,Mario,1927
BCAGRG0R129EV,Abaco,Giorgio,2000
MLNLAI3G456BO,Melone,Ali,2003
MTTLCU36G456WO,Mattei,Luca,1936
DRGGRG18Z403IW,Draghi,Giorgio,2018
BCAXVR45Z403OG,Abaco,Xavier,1945
LTTNRC99H501VE,Letto,Enrica,1999
LTTLCU78H501DY,Letto,Luca,1978
MTTNNA95R129LX,Mattei,Anna,1995
BCALAI7F789XF,Abaco,Ali,2007
RSSXVR51Z403LE,Rossi,Xavier,1951
RSSLCU89G456RJ,Russo,Lucia,1989
BCAPLA68R129FV,Abaco,Paola,1968
MLNLAI75H501YP,Melone,Ali,1975
DRGLCU65H501PX,Draghi,Lucia,1965
MLNNNA44F789XQ,Melone,Anna,1944
MTTNRC30H501BL,Mattei,Enrica,1930
MTTXVR47A213NX,Mattei,Xavier,1947
BCAMRA62H501RK,Abaco,Mario,1962
MLNLCU74R129HF,Melone,Lucia,1974
BCALCU68L219HS,Abaco,Lucia,1968
RSSNNA24Z403XO,Rossi,Anna,1924
LTTXVR22Z403HB,Letto,Xavier,1922
RSSNNA87A213RR,Russo,Anna,1987
LTTNRC12G456GD,Letto,Enrica,2012
NRELAI42G456FV,Neri,Ali,1942
RSSNNA68Z403NG,Rossi,Anna,1968
MLNNRC83Z403UW,Melone,Enrica,1983
MTTXVR24L219VI,Mattei,Xavier,1924
NREMRA41Z403DB,Neri,Mario,1941
VRDPLA80Z403XM,Verdi,Paola,1980
BCAPLA31H501EV,Abaco,Paola,1931
BCANNA29R129JA,Abaco,Anna,1929
DRGMRM2F789GO,Draghi,Miriam,2002
XVRLCU83L219WX,Xavier,Luca,1983
NRELCU60A213EA,Neri,Luca,1960
BCALAI79F789VW,Abaco,Ali,1979
VRDNNA72Z403EY,Verdi,Anna,1972
RSSXVR26A213QN,Rossi,Xavier,1926
XVRNRC36R129QY,Xavier,Enrica,1936
LTTLAI73A213XR,Letto,Ali,1973
XVRLCU75A213BD,Xavier,Luca,1975
NREPLA21Z403WL,Neri,Paola,2021
MTTNRC61H501HM,Mattei,Enrica,1961
XVRXVR0H501PK,Xavier,Xavier,2000
MTTGRG94A213UM,Mattei,Giorgio,1994
DRGMRM88L219LO,Draghi,Miriam,1988
NREMRM95R129WR,Neri,Miriam,1995
RSSLCU19R129RY,Russo,Luca,2019
MTTGRG1L219HX,Mattei,Giorgio,2001
DRGPLA88Z403KB,Draghi,Paola,1988
RSSLCU64R129TY,Russo,Luca,1964
RSSNRC43R129BD,Russo,Enrica,1943
DRGPLA88G456NM,Draghi,Paola,1988
MLNNNA54Z403YH,Melone,Anna,1954
LTTPLA9L219ON,Letto,Paola,2009
VRDMRM1G456SP,Verdi,Miriam,2001
BCAMRM27R129YB,Abaco,Miriam,1927
XVRLAI39G456WK,Xavier,Ali,1939
RSSXVR19F789HD,Russo,Xavier,2019
MTTLCU68F789OH,Mattei,Lucia,1968
DRGLCU99Z403XL,Draghi,Lucia,1999
MTTMRA81A213TR,Mattei,Mario,1981
MLNMRM64A213OS,Melone,Miriam,1964
LTTMRM49H501LA,Letto,Miriam,1949
RSSXVR35L219VD,Russo,Xavier,1935
DRGMRA56Z403EB,Draghi,Mario,1956
LTTMRM31H501XS,Letto,Miriam,1931
LTTNRC8G456QR,Letto,Enrica,2008
LTTLAI9H501KB,Letto,Ali,2009
MLNXVR37F789LN,Melone,Xavier,1937
VRDLAI58F789QY,Verdi,Ali,1958
XVRGRG66G456DS,Xavier,Giorgio,1966
NRELAI93A213WU,Neri,Ali,1993
RSSGRG96A213QN,Russo,Giorgio,1996
RSSMRM5G456PH,Russo,Miriam,2005
RSSMRM88Z403XV,Rossi,Miriam,1988
DRGMRM39F789YA,Draghi,Miriam,1939
RSSGRG22F789FK,Russo,Giorgio,1922
NRELCU66Z403NC,Neri,Lucia,1966
VRDLCU51Z403DY,Verdi,Luca,1951
BCAPLA18Z403DG,Abaco,Paola,2018
BCALAI48Z403QE,Abaco,Ali,1948
LTTMRA40A213YV,Letto,Mario,1940
MLNLCU20R129YX,Melone,Luca,2020
RSSMRM36A213WN,Russo,Miriam,1936
XVRLCU60H501HF,Xavier,Luca,1960
MLNNNA39Z403HF,Melone,Anna,1939
RSSNRC68L219GY,Rossi,Enrica,1968
BCAMRA72R129RA,Abaco,Mario,1972
BCANRC76Z403AL,Abaco,Enrica,1976
XVRNNA76F789TF,Xavier,Anna,1976
MTTMRM56Z403LX,Mattei,Miriam,1956
NRELAI86A213DY,Neri,Ali,1986
MTTLCU46Z403BR,Mattei,Luca,1946
MTTMRA86Z403LL,Mattei,Mario,1986
DRGNNA35F789RG,Draghi,Anna,1935
VRDNNA29R129SG,Verdi,Anna,1929
RSSMRM5A213YJ,Rossi,Miriam,2005
RSSLCU43L219JK,Rossi,Luca,1943
BCALCU95G456SC,Abaco,Luca,1995
RSSMRM58H501LS,Russo,Miriam,1958
BCANNA29F789VP,Abaco,Anna,1929
BCAXVR2H501NN,Abaco,Xavier,2002
MLNMRA60R129ID,Melone,Mario,1960
MLNGRG7L219JQ,Melone,Giorgio,2007
MTTMRM76G456BO,Mattei,Miriam,1976
MTTGRG72R129IM,Mattei,Giorgio,1972
DRGLAI85Z403JL,Draghi,Ali,1985
VRDMRM33A213GG,Verdi,Miriam,1933
LTTMRM96G456PB,Letto,Miriam,1996
RSSNRC32H501QT,Russo,Enrica,1932
XVRLCU58G456TB,Xavier,Luca,1958
RSSLCU40A213DI,Russo,Lucia,1940
BCANRC99R129PI,Abaco,Enrica,1999
MTTLCU57A213MJ,Mattei,Lucia,1957
RSSMRM22F789PW,Rossi,Miriam,1922
VRDLAI83A213TQ,Verdi,Ali,1983
RSSNNA95A213QP,Russo,Anna,1995
BCANRC91G456YP,Abaco,Enrica,1991
RSSLCU93R129ID,Russo,Luca,1993
RSSXVR6Z403SN,Russo,Xavier,2006
RSSNNA14Z403TB,Russo,Anna,2014
BCAMRA28G456OX,Abaco,Mario,1928
RSSMRA3G456FE,Rossi,Mario,2003
RSSMRM93A213BU,Russo,Miriam,1993
NRELCU78H501ER,Neri,Lucia,1978
NRELCU91L219ES,Neri,Luca,1991
RSSLAI3L219EM,Russo,Ali,2003
DRGNNA57Z403BL,Draghi,Anna,1957
RSSNNA55L219AC,Rossi,Anna,1955
MTTLCU85A213MP,Mattei,Luca,1985
MLNMRA15H501VI,Melone,Mario,2015
BCALCU89R129WU,Abaco,Luca,1989
MTTLAI48Z403AT,Mattei,Ali,1948
NRENRC89A213UJ,Neri,Enrica,1989
RSSGRG15G456GA,Russo,Giorgio,2015
RSSLCU74F789YS,Russo,Lucia,1974
BCAMRM20H501OW,Abaco,Miriam,2020
NREGRG1G456AN,Neri,Giorgio,2001
RSSNNA63Z403RO,Rossi,Anna,1963
XVRXVR0A213SD,Xavier,Xavier,2000
DRGLCU41L219LS,Draghi,Lucia,1941
DRGGRG96A213BP,Draghi,Giorgio,1996
RSSLAI51G456FJ,Rossi,Ali,1951
MLNLCU10G456CT,Melone,Lucia,2010
RSSMRA40G456XM,Russo,Mario,1940
NREPLA95F789SG,Neri,Paola,1995
MLNPLA85F789QI,Melone,Paola,1985
MLNGRG50L219SF,Melone,Giorgio,1950
RSSPLA18G456IQ,Rossi,Paola,2018
XVRMRA69F789IM,Xavier,Mario,1969
XVRLCU14L219DE,Xavier,Luca,2014
XVRLAI73F789YY,Xavier,Ali,1973
RSSLCU54A213EM,Rossi,Lucia,1954
MLNLAI53L219KY,Melone,Ali,1953
RSSLCU32G456VS,Rossi,Luca,1932
MTTLCU65F789KV,Mattei,Luca,1965
MLNMRA73H501JK,Melone,Mario,1973
BCALCU79F789PY,Abaco,Lucia,1979
MLNMRA78F789TF,Melone,Mario,1978
BCALCU22A213FC,Abaco,Luca,1922
XVRMRM4F789PN,Xavier,Miriam,2004
VRDMRA92A213HD,Verdi,Mario,1992
BCAXVR35G456MB,Abaco,Xavier,1935
DRGPLA30A213AT,Draghi,Paola,1930
RSSGRG22A213WG,Russo,Giorgio,1922
NREMRM14R129XP,Neri,Miriam,2014
NRELAI39H501WE,Neri,Ali,1939
MLNLAI73Z403VH,Melone,Ali,1973
BCAMRM57L219GJ,Abaco,Miriam,1957
DRGMRM99G456AH,Draghi,Miriam,1999
BCALCU54R129SK,Abaco,Luca,1954
XVRGRG31G456DQ,Xavier,Giorgio,1931
DRGNRC14R129QN,Draghi,Enrica,2014
NREXVR68Z403EO,Neri,Xavier,1968
DRGLCU75Z403UY,Draghi,Lucia,1975
VRDNRC49R129AR,Verdi,Enrica,1949
MLNXVR62A213YA,Melone,Xavier,1962
MTTMRM10R129LP,Mattei,Miriam,2010
NREGRG95H501GN,Neri,Giorgio,1995
VRDNNA30F789IP,Verdi,Anna,1930
BCANNA58H501KI,Abaco,Anna,1958
MLNLCU34A213MB,Melone,Lucia,1934
MLNLCU70Z403JN,Melone,Luca,1970
RSSPLA43F789QR,Russo,Paola,1943
BCAXVR72L219GD,Abaco,Xavier,1972
RSSGRG76F789GW,Russo,Giorgio,1976
RSSMRA99H501WI,Rossi,Mario,1999
MTTLCU78A213HM,Mattei,Luca,1978
RSSLCU68A213FI,Russo,Luca,1968
VRDXVR41R129IP,Verdi,Xavier,1941
RSSLCU51G456OH,Russo,Lucia,1951
BCALAI58R129KX,Abaco,Ali,1958
MLNPLA97R129OG,Melone,Paola,1997
BCANRC77Z403UH,Abaco,Enrica,1977
MTTMRA93R129FE,Mattei,Mario,1993
VRDPLA86F789AX,Verdi,Paola,1986
BCAXVR17H501IY,Abaco,Xavier,2017
BCAMRM69H501MF,Abaco,Miriam,1969
VRDNNA45H501HH,Verdi,Anna,1945
BCANRC36L219PQ,Abaco,Enrica,1936
MLNLAI79G456RY,Melone,Ali,1979
MTTPLA27A213HI,Mattei,Paola,1927
LTTNRC94A213XM,Letto,Enrica,1994
NRENRC68F789FH,Neri,Enrica,1968
MTTLCU89A213FH,Mattei,Luca,1989
XVRMRM4H501PB,Xavier,Miriam,2004
MTTMRM56H501CT,Mattei,Miriam,1956
VRDMRM50G456SN,Verdi,Miriam,1950
NRELCU66Z403NW,Neri,Lucia,1966
MTTLCU7Z403TA,Mattei,Luca,2007
DRGLAI64A213KS,Draghi,Ali,1964
BCANRC75F789IN,Abaco,Enrica,1975
MTTLAI79G456VB,Mattei,Ali,1979
BCANNA75G456BB,Abaco,Anna,1975
NREMRA5L219UW,Neri,Mario,2005
MLNGRG54H501MC,Melone,Giorgio,1954
RSSNNA63R129EP,Rossi,Anna,1963
MLNLCU60L219PI,Melone,Lucia,1960
LTTMRA47H501HR,Letto,Mario,1947
BCALCU64R129FY,Abaco,Luca,1964
VRDMRA63G456UY,Verdi,Mario,1963
MTTNNA72R129VP,Mattei,Anna,1972
RSSGRG78G456SO,Rossi,Giorgio,1978
RSSLAI13H501HN,Rossi,Ali,2013
DRGLCU14F789DP,Draghi,Lucia,2014
BCAPLA79F789TA,Abaco,Paola,1979
MTTMRM82A213FE,Mattei,Miriam,1982
RSSLCU22H501GW,Russo,Lucia,1922
DRGMRA38G456DA,Draghi,Mario,1938
VRDPLA2L219FA,Verdi,Paola,2002
VRDNRC36H501OU,Verdi,Enrica,1936
MTTPLA75H501OK,Mattei,Paola,1975
MLNLCU41A213GT,Melone,Luca,1941
MTTLCU42A213EN,Mattei,Lucia,1942
NREPLA19G456BI,Neri,Paola,2019
RSSMRM58F789GQ,Russo,Miriam,1958
RSSNRC89Z403RW,Rossi,Enrica,1989
RSSXVR29Z403TF,Russo,Xavier,1929
DRGGRG12L219LW,Draghi,Giorgio,2012
RSSLAI22R129XJ,Rossi,Ali,1922
VRDMRA3Z403KK,Verdi,Mario,2003
MLNLCU24H501BU,Melone,Luca,1924
BCAMRA29H501SD,Abaco,Mario,1929
DRGXVR98F789QT,Draghi,Xavier,1998
VRDMRA47G456FD,Verdi,Mario,1947
NREMRM54A213KW,Neri,Miriam,1954
XVRXVR25L219OU,Xavier,Xavier,1925
VRDLCU50R129VN,Verdi,Luca,1950
LTTMRA87G456QJ,Letto,Mario,1987
BCAMRA66R129AW,Abaco,Mario,1966
MLNLCU9G456AR,Melone,Lucia,2009
NREMRA63A213AG,Neri,Mario,1963
MTTMRA34H501TM,Mattei,Mario,1934
RSSPLA5A213CJ,Russo,Paola,2005
RSSPLA4L219NE,Rossi,Paola,2004
DRGNRC19R129TL,Draghi,Enrica,2019
MTTXVR69H501QY,Mattei,Xavier,1969
MTTNRC62H501TS,Mattei,Enrica,1962
MTTGRG70A213OJ,Mattei,Giorgio,1970
DRGNRC77Z403EH,Draghi,Enrica,1977
MLNMRA86Z403FR,Melone,Mario,1986
BCAXVR3F789YT,Abaco,Xavier,2003
NRENNA26H501VL,Neri,Anna,1926
LTTMRA74A213RJ,Letto,Mario,1974
VRDMRA83A213IR,Verdi,Mario,1983
BCAGRG45R129VS,Abaco,Giorgio,1945
LTTLCU34F789PM,Letto,Luca,1934
NREPLA48R129HS,Neri,Paola,1948
VRDNRC79Z403GE,Verdi,Enrica,1979
NRELCU97Z403LJ,Neri,Lucia,1997
BCALAI55H501ID,Abaco,Ali,1955
MTTGRG3R129HC,Mattei,Giorgio,2003
MTTXVR90L219JR,Mattei,Xavier,1990
NRENNA22G456EX,Neri,Anna,1922
RSSPLA55H501CK,Russo,Paola,1955
NREGRG51G456SU,Neri,Giorgio,1951
XVRNNA93R129DN,Xavier,Anna,1993
LTTPLA90H501AJ,Letto,Paola,1990
MLNGRG28F789LQ,Melone,Giorgio,1928
RSSGRG60G456PQ,Rossi,Giorgio,1960
LTTLAI55L219FX,Letto,Ali,1955
MLNMRA46L219HO,Melone,Mario,1946
MTTMRM38A213TQ,Mattei,Miriam,1938
NREMRM37R129IO,Neri,Miriam,1937
NRELCU69G456WC,Neri,Luca,1969
NREXVR65Z403ST,Neri,Xavier,1965
DRGLAI62F789JO,Draghi,Ali,1962
MTTMRM81F789FA,Mattei,Miriam,1981
VRDGRG60Z403YC,Verdi,Giorgio,1960
LTTXVR46G456AC,Letto,Xavier,1946
BCAXVR50A213AP,Abaco,Xavier,1950
MTTGRG61A213WQ,Mattei,Giorgio,1961
MLNLCU60A213DR,Melone,Lucia,1960
RSSLCU55G456LF,Rossi,Lucia,1955
BCAXVR83G456QW,Abaco,Xavier,1983
RSSLCU32L219OA,Rossi,Luca,1932
MLNLCU91F789AW,Melone,Lucia,1991
NREMRM57H501IC,Neri,Miriam,1957
MLNNNA3L219EC,Melone,Anna,2003
VRDLAI57Z403IV,Verdi,Ali,1957
BCAMRM24F789CC,Abaco,Miriam,1924
BCAXVR55F789OC,Abaco,Xavier,1955
BCAMRM98G456PL,Abaco,Miriam,1998
NRELAI54F789RI,Neri,Ali,1954
RSSGRG51F789WE,Russo,Giorgio,1951
RSSLCU43L219IS,Rossi,Luca,1943
NRENRC51Z403YV,Neri,Enrica,1951
RSSMRM0A213NL,Russo,Miriam,2000
MLNPLA67F789FA,Melone,Paola,1967
LTTGRG25F789UX,Letto,Giorgio,1925
MLNLCU57Z403HW,Melone,Luca,1957
RSSMRA42Z403NY,Russo,Mario,1942
RSSLAI13A213OW,Rossi,Ali,2013
VRDLAI13R129BQ,Verdi,Ali,2013
RSSLCU10Z403JT,Russo,Lucia,2010
RSSLCU85A213CI,Russo,Luca,1985
RSSLAI7Z403JC,Rossi,Ali,2007
NREGRG34R129CF,Neri,Giorgio,1934
LTTLAI5G456KM,Letto,Ali,2005
VRDMRA91R129UR,Verdi,Mario,1991
RSSNRC74F789VG,Russo,Enrica,1974
LTTMRM14H501LW,Letto,Miriam,2014
LTTMRA35A213XM,Letto,Mario,1935
LTTLCU28R129GW,Letto,Lucia,1928
XVRNNA1R129OQ,Xavier,Anna,2001
VRDMRA77A213SI,Verdi,Mario,1977
NREPLA21F789SU,Neri,Paola,2021
RSSMRM63H501RW,Russo,Miriam,1963
RSSNRC10Z403QV,Russo,Enrica,2010
XVRMRM52R129OM,Xavier,Miriam,1952
RSSMRM53G456JU,Russo,Miriam,1953
XVRNNA21R129CY,Xavier,Anna,2021
XVRLAI78A213ND,Xavier,Ali,1978
MLNMRM64G456JR,Melone,Miriam,1964
DRGPLA48H501JY,Draghi,Paola,1948
DRGLCU98Z403VM,Draghi,Lucia,1998
XVRNNA68H501AK,Xavier,Anna,1968
RSSMRA42L219GI,Russo,Mario,1942
RSSNRC99L219JI,Russo,Enrica,1999
RSSXVR26L219KG,Rossi,Xavier,1926
MTTXVR85Z403LM,Mattei,Xavier,1985
NREPLA72F789XC,Neri,Paola,1972
MTTLAI40R129EX,Mattei,Ali,1940
LTTMRM75L219UL,Letto,Miriam,1975
NREGRG21Z403SH,Neri,Giorgio,2021
VRDLAI24L219RC,Verdi,Ali,1924
RSSLCU96Z403NH,Rossi,Lucia,1996
MLNMRM86R129MG,Melone,Miriam,1986
RSSLCU54R129MV,Russo,Luca,1954
MLNMRM37H501NN,Melone,Miriam,1937
MLNNNA19R129PU,Melone,Anna,2019
MLNGRG25H501BO,Melone,Giorgio,1925
VRDLCU59G456UV,Verdi,Lucia,1959
MLNGRG58R129AO,Melone,Giorgio,1958
XVRLAI22G456NA,Xavier,Ali,1922
RSSNNA75R129XF,Russo,Anna,1975
NRELCU1A213LM,Neri,Luca,2001
LTTNRC29R129HE,Letto,Enrica,1929
RSSMRM67G456HD,Russo,Miriam,1967
MTTXVR43Z403ID,Mattei,Xavier,1943
DRGLCU77G456XN,Draghi,Luca,1977
LTTLAI63Z403TM,Letto,Ali,1963
MLNLAI16H501OQ,Melone,Ali,2016
NRELCU3F789WO,Neri,Lucia,2003
VRDLAI69Z403SL,Verdi,Ali,1969
BCAXVR90A213WN,Abaco,Xavier,1990
NREXVR99G456XI,Neri,Xavier,1999
MLNMRA92A213LM,Melone,Mario,1992
NREGRG28G456FC,Neri,Giorgio,1928
XVRLAI20H501YQ,Xavier,Ali,2020
MTTLAI73F789TL,Mattei,Ali,1973
RSSMRM89G456XB,Rossi,Miriam,1989
RSSLCU94F789JR,Rossi,Lucia,1994
VRDGRG73F789RT,Verdi,Giorgio,1973
NRENRC1G456RK,Neri,Enrica,2001
MTTLAI70L219JF,Mattei,Ali,1970
BCALCU6L219QG,Abaco,Lucia,2006
XVRLCU75R129IY,Xavier,Lucia,1975
MTTMRM8A213OU,Mattei,Miriam,2008
XVRMRM24G456UI,Xavier,Miriam,1924
XVRNRC79H501OM,Xavier,Enrica,1979
BCALCU99A213YT,Abaco,Luca,1999
LTTNNA36R129WE,Letto,Anna,1936
RSSPLA90R129CE,Russo,Paola,1990
RSSGRG10L219CP,Rossi,Giorgio,2010
NRENRC56L219WU,Neri,Enrica,1956
DRGLCU86R129QV,Draghi,Lucia,1986
MTTNRC82F789RA,Mattei,Enrica,1982
XVRMRA54A213MQ,Xavier,Mario,1954
LTTLCU39Z403YD,Letto,Lucia,1939
VRDNNA0Z403AR,Verdi,Anna,2000
VRDNRC6A213IC,Verdi,Enrica,2006
BCANRC20L219XT,Abaco,Enrica,2020
XVRMRA79A213UL,Xavier,Mario,1979
RSSLAI48F789KE,Russo,Ali,1948
DRGMRM54H501AW,Draghi,Miriam,1954
LTTLAI46G456WB,Letto,Ali,1946
VRDPLA76G456ES,Verdi,Paola,1976
NRENNA67F789EN,Neri,Anna,1967
RSSXVR5A213NX,Russo,Xavier,2005
VRDNRC52F789GC,Verdi,Enrica,1952
BCALAI34Z403OG,Abaco,Ali,1934
XVRPLA1L219QG,Xavier,Paola,2001
MTTXVR74A213HM,Mattei,Xavier,1974
BCANRC53F789LH,Abaco,Enrica,1953
VRDMRA78L219US,Verdi,Mario,1978
RSSNNA18F789NF,Rossi,Anna,2018
RSSMRA29R129EF,Russo,Mario,1929
MTTPLA47H501GI,Mattei,Paola,1947
MTTNNA68G456OD,Mattei,Anna,1968
RSSLCU16G456HC,Rossi,Luca,2016
RSSLCU87G456WM,Russo,Lucia,1987
LTTNRC52R129EF,Letto,Enrica,1952
DRGXVR29H501WJ,Draghi,Xavier,1929
RSSLCU33F789IO,Russo,Lucia,1933
XVRNNA31H501IY,Xavier,Anna,1931
BCANNA14L219NK,Abaco,Anna,2014
NREPLA93G456CR,Neri,Paola,1993
NREPLA89G456IP,Neri,Paola,1989
